objectid,filename,title,creator,date,display_date,description,subject,location,Collection,format,physicaldescription,rights,latitude,longitude
image3,image3.jpg,"January, from the Les Très Riches Heures du Duc de Berry",Limbourg Brothers (fl. 1385-1416),1385-1416,1385-1416,"The Duke of Berry, seated lower right, with his back to the fire, is dressed in blue and wearing a fur cap. He invites his people and relatives to introduce themselves to him. Behind him is the inscription “Approche Approche”. Several of the duke's familiars approach him while servants are busy: the cupbearers are serving drinks, two sharp squires in the center are seen from behind; at the end of the table officiates a baker. Above the fireplace are the duke's coat of arms, ""azure strewn with fleur-de-lis d'or, with a engrailed border gules"", with small bears and wounded swans. Several pets are represented: small dogs on the table, greyhound on the ground. The tapestry
at the back of the room seems to represent episodes from the Trojan War",,"Chantilly, France",Musée Condé,image/jpeg,parchment,"""January, from the Les Très Riches Heures du Duc de Berry"" by: R-G Ojéda/RMN (https://commons.wikimedia.org/wiki/File:Les_Tr%C3%A8s_Riches_Heures_du_duc_de_Berry_Janvier.jpg), PD-US",49.19551862,2.494349077
image4,image4.jpg,"February, from the Les Très Riches Heures du Duc de Berry",Limbourg Brothers (fl. 1385-1416),1385-1416,1385-1416,"February: An enclosure surrounds a farm comprising a sheep pen and, on the right, four beehives and a dovecote. Inside the house, a woman and a couple of young man and young woman warm themselves in front of the fire. Outside, a man chops down a tree with an axe, bundles of sticks at his feet, while another gets ready to go inside while blowing on his hands to warm them. Further away, a third drives a donkey, loaded with wood, towards the neighbouring village.",,"Chantilly, France",Musée Condé,image/jpeg,parchment,"""February, from the Les Très Riches Heures du Duc de Berry"" by: R-G Ojéda/RMN (https://commons.wikimedia.org/wiki/File:Les_Tr%C3%A8s_Riches_Heures_du_duc_de_Berry_f%C3%A9vrier.jpg), PD-US",49.19551862,2.494349077
image5,image5.jpg,King David,"Sluter, Claus (1340-1406)",1340-1406,1340s to 1405 or 1406,"Description from wikipedia: Life-sized figures representing Old Testament prophets and kings (Moses, David, Daniel, Jeremiah, Zachariah, and Isaiah) stand around the base, holding phylacteries and books inscribed with verses from their respective texts, which were interpreted in the Middle Ages as typological prefigurations of the sacrifice of Christ. The work's physical structure, in which the Old Testament figures support those of the New Dispensation, literalizes the typological iconography. The pedestal surmounts a hexagonal fountain. The entire monument is executed in limestone quarried from Tonnerre and Asnières. Traces of original polychromy by Jean Malouel",,"Dijon, France",n/a,image/jpeg,sculpture,"""King David"" by Ponyterr (https://upload.wikimedia.org/wikipedia/commons/2/20/Claus_Sluter._Moses_Well._Puits_de_Mo%C3%AFse._%D0%9A%D0%BE%D0%BB%D0%BE%D0%B4%D0%B5%D1%86_%D0%9C%D0%BE%D0%B8%D1%81%D0%B5%D1%8F_%D0%B8%D0%BB%D0%B8_%D0%9A%D0%BE%D0%BB%D0%BE%D0%B4%D0%B5%D1%86_%D0%9F%D1%80%D0%BE%D1%80%D0%BE%D0%BA%D0%BE%D0%B2._%D0%9A%D0%BB%D0%B0%D1%83%D1%81_%D0%A1%D0%BB%D1%8E%D1%82%D0%B5%D1%80._1395-1405_%284%29.JPG), PD-US",47.32185176,5.017511756
image6,image6.jpg,Madonna of Chancellor,"van Eyck, Jan (1390-1441)",1390-1441,1390-1441,"Architectural setting – basilica, triple arcade allusive to the Trinity, historiated capitals – very symbolic, and imaginary and ideal landscape as much as virtuosoly realistic (some have seen there a little naively Lyon, Ghent, Liège, Stein-am-Rhein, Maastricht, Autun, Geneva, Utrecht, etc.), illustrating the greatness of the creator God. The gesture of blessing the Child was not originally planned (absent from the underlying drawing). Chancellor Rolin (in ceremonial clothes), still recognized as such in the painting in the 18th century. and reidentified in the middle of the 19th century. (1844, 1857 and 1860, cf. Comblen-Sonkes [1995], p. 21), humbly adore Jesus child, naked, and yet divine and sovereign (the Child holds like a king a globe of the world surmounted by a cross ). The biblical inscriptions (Ecclesiasticus and Psalms) on the Virgin's mantle exalt the fundamental role of Mary, represented as a queen (she is crowned by an angel). (Description source: https://collections.louvre.fr/en/ark:/53355/cl010061856) 


",,"Paris, France",Musée du Louvre,image/jpeg,"oil on wood; height: 0,66 m ; length: 0,62 m","""Madonna of Chancellor"" by Musée du Louvres, (https://commons.wikimedia.org/wiki/File:La_Vierge_du_chancelier_Rolin_-_Jan_van_Eyck_-_Mus%C3%A9e_du_Louvre_Peintures_INV_1271.jpg), PD-US.",48.86265165,2.338353214
image7,image7.jpg,Portrait of Giovanni(?) Arnolfini and his Wife,"van Eyck, Jan (1390-1441)",1434,1434,"This must be one of the most famous and intriguing paintings in the world. A richly dressed man and woman stand in a private room.They are probably Giovanni di Nicolao di Arnolfini, an Italian merchant working in Bruges, and his wife.
Although the room is totally plausible – as if Jan van Eyck had simply removed a wall – close examination reveals inconsistencies: there’s not enough space for the chandelier, and no sign of a fireplace. Moreover, every object has been carefully chosen to proclaim the couple’s wealth and social status without risking criticism for aping the aristocracy.
The man’s hand is raised, apparently in greeting. On the back wall, a large convex mirror reflects two men coming into the room, one of whom also raises his arm. Immediately above it is Van Eyck’s signature. Could the man in mirror be van Eyck himself, with his servant, coming on a visit?",,"Washington D.C., USA",National Gallery of Art,image/jpeg,Oil on oak Dimensions; 82.2 × 60 cm,"""Portrait of Giovanni(?) Arnolfini and his Wife"", Photo by Gennadii Saus i Segura (https://commons.wikimedia.org/wiki/File:The_Arnolfini_portrait_(1434).jpg), PD-US",38.89154008,-77.0193642
image8,image8.jpg,Merode altarpiece (Triptych of the Annunciation),"Campin, Robert (c. 1375-1444)",1425-28,c. 1425-28,"Having just entered the room, the angel Gabriel is about to tell the Virgin Mary that she will be the mother of Jesus. The golden rays pouring in through the left oculus carry a miniature figure with a cross. On the right wing, Joseph, who is betrothed to the Virgin, works in his carpenter’s shop, drilling holes in a board. The mousetraps on the bench and in the shop window opening onto the street are thought to allude to references in the writings of Saint Augustine identifying the cross as the devil’s mousetrap. On the left wing, the kneeling donor appears to witness the central scene through the open door. His wife kneels behind him, and a town messenger stands at the garden gate. The owners would have purchased the triptych to use in private prayer. An image of Christ’s conception in an interior not unlike the one in which they lived also may have reinforced their hope for their own children.
One of the most celebrated early Netherlandish paintings—particularly for its detailed observation, rich imagery, and superb condition—this triptych belongs to a group of paintings associated with the Tournai workshop of Robert Campin (ca. 1375–1444), sometimes called the Master of Flémalle. Documents indicate that he hired at least two assistants, the young Rogier van der Weyden (ca. 1400–1464) and Jacques Daret (ca. 1404–1468). Stylistic and technical evidence suggests that the altarpiece was executed in phases. The Annunciation, which follows a slightly earlier workshop composition, probably was not commissioned. Shortly thereafter, the male donor ordered the wings, which appear to have been painted by two artists. At a later point, in the 1430s, presumably following the donor’s marriage, the portraits of his wife and of the messenger were added. The windows of the central panel, originally covered with gold leaf, were painted with a blue sky, and the armorial shields were added afterward.",,"New York City, USA",Metropolitan Museum of Art,image/jpeg,Oil on oak; Dimensions: Overall: 25 3/8 x 46 3/8 in. (64.5 x 117.8 cm),"""Annunciation Triptych (Merode Altarpiece)"" by Metropolitan Museum of Art, the Cloisters Collection, 1956 (https://www.metmuseum.org/art/collection/search/470304), PD-US",40.77965593,-73.96264319
image9,image9.jpg,Deposition (aka Descent from the Cross),"van der Weyden, Rogier (1399-1464)",1435,c. 1435,"The Descent from the Cross was painted for the Chapel of Our Lady Outside the Walls at Leuven, which was founded in the fourteenth century by the Great Crossbowmen`s Guild, sold in 1798 and demolished soon afterwards.The two small crossbows that hang from the tracery in the corners of the panel indicate that it was commissioned by that guild.The earliest datable copy, the Edelheere Triptych of 1443 (Leuven, Saint Peter`s Church), shows that the Descent was completed before that date. Acquired from the Chapel by Mary of Hungary (1505-1558), it was displayed in 1549 in the chapel of her castle at Binche. Mary`s nephew Philip II of Spain placed it before 1564 in the chapel of his palace at El Pardo outside Madrid.Taken to the Escorial in 1566, it remained there until 1939, when it was transferred to the Prado.The shape of the Descent is that commonly used in Brabant for the centrepieces of large winged altarpieces.The projection at the top could have had its own small wings, while the rest could have been protected by rectangular shutters, possibly without imagery. Philip II commissioned new wing panels in 1566, which were painted by Juan Fernández Navarrete, El Mudo (1526-1579).The original wing-panels and El Mudo`s have been lost without trace. Cleaned in 1992-93, the painting is exceptionally well preserved.",,"Madrid, Spain",Museo del Prado,image/jpeg,oil on oak wood; height: 220 cm(86.6 in); width: 262 cm (103.1 in),"""Deposition (aka Descent from the Cross)"" by Museo del Prado (https://www.museodelprado.es/en/the-collection/art-work/the-descent-from-the-cross/856d822a-dd22-4425-bebd-920a1d416aa7), PD-US",40.41401867,-3.691665762
image10,image10.jpg,Portinari altarpiece,"van der Goes, Hugo (1430/40-1482)",1473-1478,c. 1473-1478,"In the background, van der Goes painted scenes related to the main subject: on the left panel, Joseph and Mary on the road to Bethlehem; on the central panel (to the right), the shepherds visited by the angel; on the right panel, the Three Magi on the road to Bethlehem. Hugo van der Goes used continuous narrative to show the same characters repeated in one painting. In the central panel, he sets the characters up in the background first. Here, the shepherds are seen with an angel over their heads.This scene is the Annunciation of the Shepherds where the angel comes to tell the shepherds of the news of Christ's birth. In the foreground of the central panel, the shepherds are seen now adoring Christ across from the Virgin Mary. Description source: https://www.uffizi.it/en/online-exhibitions/portinari-triptych#1",,"Florence, Italy",Gallerie degli Uffizi,image/jpeg,Oil on wood; 583 × 304 cm (19.1 × 9.9 ft),"""Portinari altarpiece"" by the Yorck Project (2002) (https://commons.wikimedia.org/wiki/File:Hugo_van_der_Goes_004.jpg), PD-US",43.76798702,11.25569704
image11,image11.jpg,Marten Nieuwenhove diptych,Hans Memling (1433-1494),1487,1487,"The painting is an early example of an Early Netherlandish devotional diptych, which still preserves the original frame and hinges. A new invention was showing the scene in a continuous room, instead of against a monochrome background.
The window at the upper left originally was clear glass, showing a landscape. The composition was changed at a later stage to show the coat of arms of Van Nieuwenhove here instead. It was more common to have this on the outer panels than this prominently. It is surrounded by four images of a hand sowing seeds, a pun on the name of the donor which means ""from the new garden"". The same coat of arms can also be seen on the clasp of the book in front of Van Nieuwenhove.
The mirror behind Mary shows the scene in reverse, making it even more explicit that the two panels are placed in the same room and time, even though the actual configuration seen in the mirror does not match the scene in the main painting. Memling only included the mirror in a later stage of the composition. This unity of space was also emphasized by small details like the carpet to the left of Mary, which reappears beneath the hands of van Nieuwenhove. The work was probably intended to be displayed with the two panels at an angle, but it is uncertain how exactly they should be placed. One possibility is that it was intended to be hung from a wall or column, with the Virign panel fixed and the van Nieuwenhove panel loose.
The inscription at the bottom of the two panels reads ""HOC OPUS FIERI FECIT MARTINUS DE NEWENHOVEN ANNO DM 1487 - ANO VERO ETATIS SUE 23"" meaning ""Maarten van Nieuwenhove had this work made in 1487"" (left panel) and ""At the age of 23"" (right panel).
The glass panels in the windows depict Saint Christopher and Saint George (above the Virgin and Child) and Saint Martin of Tours (as his namesake saint) above Maarten van Nieuwenhove. Through the open window, one can see the Minnewater, also (mistakenly) known as the ""Lake of Love"" ('minne' being the Medieval term for 'love' in Dutch), a romantic corner of Bruges.",,"Florence, Italy",Gallerie degli Uffizi,image/jpeg,oil on oak wood; height: 52 cm (20.4 in); width: 41.5 cm (16.3 in) (each),"""Marten Nieuwenhove diptych"" by the Web Gallery of Art (https://www.wga.hu/frames-e.html?/html/m/memling/3mature6/33nieuw.html), PD-US",43.76798702,11.25569704
image12,image12.jpg,Garden of Earthly Delights,"Bosch, Hieronymous (1450-1516)",1510-1515,c. 1510-1515,"The Garden of Earthly Delights is Bosch’s most complex and enigmatic creation. For Falkenburg the overall theme of The Garden of Earthly Delights is the fate of humanity, as in The Haywain (P02052), although Bosch visualizes this concept very differently and in a much more explicit manner in the centre panel of that triptych than in The Garden of Earthly Delights. In order to analyse the work’s meaning the content of each panel must be identified. Read more at https://www.museodelprado.es/en/the-collection/art-work/the- garden-of-earthly-delights-triptych/02388242-6d6a-4e9e-a992-e1311eab3609",,"Madrid, Spain",Museo del Prado,image/jpeg,Oil on Oak; 220.0 x 390.0 cm,"""Garden of Earthly Delights"" by the Bosch Project (http://boschproject.org/#/artworks/The_Garden_of_Earthly_Delights), PD-US",40.41401867,-3.691665762
